Year,PSTow,DS,PS,Wii,PSP,PSThree,GBA,XThreeSixZero,PC,ThreeDS
0,30,24,7,21,6,10,10,16,3,5
1980,0,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0
1985,0,1,0,0,0,0,0,0,1,0
1986,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0,3,0
1993,0,0,0,0,0,0,0,0,0,0
1994,0,0,16,0,0,0,0,0,5,0
1995,0,0,92,0,0,0,0,0,1,0
1996,0,0,157,0,0,0,0,0,3,0
1997,0,0,175,0,0,0,0,0,5,0
1998,0,0,237,0,0,0,0,0,6,0
1999,0,0,190,0,0,0,0,0,7,0
2000,76,0,143,0,0,0,1,0,6,0
2001,177,0,82,0,0,0,87,0,12,0
2002,269,0,19,0,0,0,150,0,15,0
2003,248,0,3,0,0,0,96,0,24,0
2004,251,18,0,0,15,0,140,0,21,0
2005,234,89,0,0,74,0,107,11,23,0
2006,227,170,0,28,146,15,25,52,33,0
2007,170,328,0,125,77,37,3,62,32,0
2008,110,415,0,216,63,59,0,82,39,0
2009,44,338,0,247,114,82,0,78,56,0
2010,18,269,0,185,149,115,0,81,42,0
2011,1,126,0,94,122,132,0,95,83,79
2012,0,19,0,20,83,104,0,42,22,78
2013,0,6,0,7,46,80,0,24,12,68
2014,0,1,0,3,7,46,0,10,9,64
2015,0,0,0,2,2,20,0,6,20,71
2016,0,0,0,0,0,5,0,0,12,31
2017,0,0,0,0,0,0,0,0,0,0
2020,0,1,0,0,0,0,0,0,0,0
